pav,flow(veh/hr),speed(mph),density(veh/mile)
0.213625084593,2955.33333333,55.9057927342,66.5275855255
0.222222222222,3240.0,70.3520729468,40.2102227648
0.235294117647,3060.0,66.4072325934,40.1466639208
0.266666666667,2700.0,6.53561381844,189.778033336
0.333333333333,2700.0,6.6713728169,188.315171774
0.375,2880.0,6.79819854851,188.493609595
0.3125,2880.0,7.04875139924,188.883837021
0.352941176471,3060.0,7.22750758576,192.165811505
0.294117647059,3060.0,7.47000164109,190.355213955
0.3125,2880.0,7.56730018778,187.883592535
0.1875,2880.0,7.58273861473,190.806656035
0.352941176471,3060.0,7.65326654127,189.219938839
0.25,2880.0,7.69841087116,186.202196176
0.157894736842,3420.0,64.4048258462,42.5123586401
0.25,2880.0,7.79836617707,187.038436632
0.176470588235,3060.0,8.11599764318,191.055266144
0.294117647059,3060.0,8.29453248357,186.71099891
0.176470588235,3060.0,8.85081318524,188.370579682
0.235294117647,3060.0,9.3268854074,188.250982901
0.235294117647,3060.0,10.5524047057,178.086816844
0.176470588235,3060.0,12.1341654505,181.607064602
0.176470588235,3060.0,13.9975670867,190.882111817
0.166666666667,3240.0,14.8934685847,164.287011829
0.0625,2880.0,17.2092385365,165.173847856
0.222222222222,3240.0,72.0938744241,29.1219854904
0.277777777778,3240.0,19.8584936875,130.777026972
0.277777777778,3240.0,22.1340988466,110.140191646
0.166666666667,3240.0,22.6649221352,118.242471508
0.166666666667,3240.0,25.7599327338,103.107507519
0.176470588235,3060.0,27.607414701,95.5386635641
0.235294117647,3060.0,29.8287932191,81.4054486196
0.111111111111,3240.0,32.2788375282,89.897551416
0.222222222222,3240.0,34.7435661218,73.1581266917
0.263157894737,3420.0,36.5163335089,82.6302978731
0.0588235294118,3060.0,36.1075101511,87.77278055
0.1875,2880.0,65.1464439221,47.9120381474
0.157894736842,3420.0,39.7295323924,69.4866708633
0.0666666666667,2700.0,41.5145203383,40.2659341785
0.0555555555556,3240.0,42.7064905129,47.1693883698
0.235294117647,3060.0,46.197786904,58.9714353679
0.235294117647,3060.0,52.1259094846,45.1102838905
0.111111111111,3240.0,53.6093932389,61.3642111241
0.111111111111,3240.0,55.4133997775,59.069096565
0.111111111111,3240.0,57.7946706886,52.7783801422
0.166666666667,3240.0,61.0068031854,50.7240140776
0.176470588235,3060.0,57.197937718,42.2322043105
0.166666666667,3240.0,63.4575392845,48.0714614322
0.222222222222,3240.0,65.9845092913,41.1839493191
0.166666666667,3240.0,66.5091600262,42.809100586
0.111111111111,3240.0,71.8406473809,25.9853013078
0.0588235294118,3060.0,71.9271342888,29.9330885763
0.294117647059,3060.0,73.4120985661,34.4439020766
0.222222222222,3240.0,70.3969274678,41.973547415
0.235294117647,3060.0,62.5489550625,45.8829385626
0.210526315789,3420.0,68.3536563851,46.1473979092
0.2,2700.0,75.2202632687,29.0923115103
0.117647058824,3060.0,73.1239661922,28.2938391399
0.315789473684,3420.0,58.876034025,50.6737982149
0.25,3600.0,71.4592302654,36.3378276172
