pav,flow(veh/hr),speed(mph),density(veh/mile)
1.0,7200.0,72.5439174068,91.933956882
1.0,7020.0,75.8640100424,84.546231685
1.0,6840.0,77.0136730889,87.9929838299
1.0,6660.0,75.0196508589,87.9775653931
1.0,7020.0,77.0136730889,86.6819681477
1.0,6840.0,77.0136730889,87.0580668967
1.0,6840.0,77.0136730889,90.9313361083
1.0,6660.0,77.0136730889,84.0109088797
1.0,6840.0,77.0136730889,87.1705700081
1.0,6480.0,73.9127842721,87.074160113
1.0,7020.0,77.0136730889,89.8466395827
1.0,6660.0,77.0059651576,86.9756521324
1.0,6840.0,77.0136730889,87.9929838299
1.0,6480.0,72.904642529,83.6685056591
1.0,6300.0,68.732346557,86.5209513762
1.0,6120.0,44.6228381039,137.647733432
1.0,1980.0,14.5758278715,182.072040502
1.0,900.0,1.39373297171,189.294117647
1.0,900.0,1.53677817782,189.294117647
1.0,1080.0,1.71216309507,189.294117647
1.0,1260.0,2.08537480711,189.294117647
1.0,1260.0,2.33687318457,189.294117647
1.0,1440.0,2.25973182162,189.294117647
1.0,1440.0,2.3444589224,189.294117647
1.0,1440.0,2.37895482646,189.294117647
1.0,1440.0,2.44544219421,189.294117647
1.0,1440.0,2.64456630593,189.294117647
1.0,1800.0,2.91631587818,189.294117647
1.0,1980.0,3.31030810715,189.294117647
1.0,1980.0,3.46971247841,189.294117647
1.0,2160.0,3.59343107453,189.294117647
1.0,2160.0,3.64575209825,189.294117647
1.0,2160.0,3.60128844333,189.294117647
1.0,2160.0,3.7048642984,189.294117647
1.0,2160.0,3.80221247626,189.294117647
1.0,2340.0,3.92257779817,189.294117647
1.0,2520.0,4.37897972074,189.294117647
1.0,2700.0,4.71746958455,189.294117647
1.0,2880.0,4.85375601029,189.294117647
1.0,2700.0,4.89220329275,189.294117647
1.0,2700.0,4.89300879095,189.294117647
1.0,2880.0,4.96745602796,189.294117647
1.0,2880.0,5.01653464234,189.294117647
1.0,2880.0,5.11332921364,189.294117647
1.0,3060.0,5.3830605001,189.294117647
1.0,3420.0,5.87409569289,189.294117647
1.0,3240.0,6.11055759836,189.294117647
1.0,3240.0,6.21881766032,189.294117647
1.0,3600.0,6.25342082104,189.294117647
1.0,3600.0,6.34202334566,189.294117647
1.0,3420.0,6.31771468917,189.294117647
1.0,3420.0,6.35324951677,189.294117647
1.0,3600.0,6.46715291823,189.294117647
1.0,3600.0,6.77514863504,189.294117647
1.0,3960.0,7.23673814087,189.294117647
1.0,3960.0,7.46748808698,189.294117647
1.0,4140.0,7.5503901621,189.294117647
1.0,4140.0,7.60430758865,189.294117647
1.0,3960.0,7.66472713283,189.294117647
1.0,4140.0,7.69226916666,189.294117647
1.0,4140.0,7.69386422638,189.294117647
1.0,4140.0,7.8507641497,189.294117647
1.0,4320.0,8.20066043064,189.294117647
1.0,4500.0,8.63088369293,189.294117647
1.0,4680.0,8.83556101514,189.294117647
1.0,4680.0,8.95384599005,189.294117647
1.0,4680.0,9.01723074174,189.294117647
1.0,4680.0,9.0560930955,189.294117647
1.0,4680.0,9.02993133163,189.294117647
1.0,4680.0,9.05990195109,189.294117647
1.0,4680.0,9.19487998747,189.294117647
1.0,4860.0,9.574850545,189.294117647
1.0,5220.0,10.0057982015,189.294117647
1.0,5040.0,10.2239710617,189.294117647
1.0,5220.0,10.3405100228,189.294117647
1.0,5220.0,10.4090857167,189.294117647
1.0,5220.0,10.4005117514,189.294117647
1.0,5040.0,10.3913659435,189.294117647
1.0,5400.0,10.495772185,189.294117647
1.0,5400.0,10.7152536893,189.294117647
1.0,5400.0,11.2426477123,189.294117647
1.0,5400.0,12.0687775086,189.294117647
1.0,5760.0,13.3872745955,189.294117647
1.0,5760.0,15.4918082817,188.317700374
1.0,5400.0,16.2077978175,188.894165869
1.0,5760.0,17.0196471776,187.897123442
1.0,5760.0,17.1536124641,188.900271744
1.0,5760.0,17.678614146,188.039351539
1.0,5940.0,18.0010284068,186.4036566
1.0,5940.0,19.7993546877,185.085847512
1.0,5940.0,20.8894173318,181.174407587
1.0,6120.0,22.1496121409,189.294117647
1.0,6300.0,22.7262103682,187.875679858
1.0,6120.0,24.0334417821,178.430517759
1.0,6120.0,25.6212963167,158.318451841
1.0,6120.0,26.8305124178,148.688932735
1.0,6480.0,27.0518326315,173.353477241
1.0,6480.0,27.6152125922,181.529250888
1.0,6480.0,30.2040592097,148.947114356
1.0,6480.0,34.0368030372,161.977255848
1.0,6480.0,38.3251362863,129.534587324
1.0,6840.0,43.3813708912,126.394008855
1.0,6120.0,49.9357399873,95.1399084293
1.0,6660.0,55.678570723,99.8244884137
1.0,6480.0,62.0365912056,103.692856595
1.0,6660.0,66.9283689986,100.48500185
1.0,7020.0,68.2397757408,101.395681316
1.0,6480.0,71.9447529562,86.6141325392
1.0,6480.0,71.5795966861,85.1314294335
1.0,6660.0,75.0361042091,87.2779671921
1.0,6480.0,73.3603518875,85.1031401056
1.0,7200.0,75.2759806094,91.272273058
1.0,6480.0,75.3157566275,86.432599914
1.0,6840.0,77.0136730889,87.0580668968
1.0,6480.0,71.3500105143,91.9984796302
1.0,6840.0,75.9790687319,88.7697161928
1.0,6840.0,77.0136730889,88.7028945403
1.0,6660.0,76.7347470044,85.1819868544
1.0,6300.0,77.0136730889,81.1468538789
1.0,6660.0,76.5596795278,86.4900207946
1.0,6480.0,75.8266223682,83.5782140483
1.0,6840.0,77.0136730889,87.9929838299
1.0,6840.0,77.0136730889,87.9929838299
1.0,7020.0,77.0136730889,90.7184270463
1.0,6840.0,76.8593291101,88.1695605377
1.0,6480.0,75.2300843805,83.7244379087
1.0,7020.0,77.0136730889,91.0671420316
1.0,7020.0,77.0136730889,88.7028941836
1.0,4680.0,29.3346863921,162.008642194
1.0,900.0,1.32119737647,189.294117647
1.0,900.0,1.5151079098,189.294117647
1.0,1260.0,1.89468253119,189.294117647
1.0,1260.0,2.04928083979,189.294117647
1.0,1260.0,2.05096201866,189.294117647
1.0,1260.0,2.15255136667,189.294117647
1.0,1440.0,2.38178466427,189.294117647
1.0,1440.0,2.37020578737,189.294117647
1.0,1440.0,2.42712490661,189.294117647
1.0,1440.0,2.65173914648,189.294117647
1.0,1800.0,3.04583091727,189.294117647
1.0,2160.0,3.39432616391,189.294117647
1.0,1800.0,3.41812295958,189.294117647
1.0,2160.0,3.41827188666,189.294117647
1.0,1980.0,3.49113441143,189.294117647
1.0,2340.0,3.65067868318,189.294117647
1.0,2160.0,3.70530670565,189.294117647
1.0,2160.0,3.76960564958,189.294117647
1.0,2160.0,3.92132857314,189.294117647
1.0,2520.0,4.5148137917,189.294117647
1.0,2880.0,4.76866785844,189.294117647
1.0,2520.0,4.78538039865,189.294117647
1.0,2880.0,4.78558003787,189.294117647
1.0,2880.0,4.84298823131,189.294117647
1.0,2520.0,4.92173439673,189.294117647
1.0,2880.0,5.01410652243,189.294117647
1.0,2880.0,5.0604277257,189.294117647
1.0,3240.0,5.43862738902,189.294117647
1.0,3240.0,5.97097888572,189.294117647
1.0,3240.0,6.13765703657,189.294117647
1.0,3600.0,6.1524828485,189.294117647
1.0,3240.0,6.15288674984,189.294117647
1.0,3600.0,6.22348409612,189.294117647
1.0,3420.0,6.27662567529,189.294117647
1.0,3420.0,6.34321298401,189.294117647
1.0,3600.0,6.43581996203,189.294117647
1.0,3600.0,6.8094121829,189.294117647
1.0,3960.0,7.33050729747,189.294117647
1.0,3960.0,7.50016656361,189.294117647
1.0,4140.0,7.51931732563,189.294117647
1.0,4140.0,7.52018164278,189.294117647
1.0,3960.0,7.57193120092,189.294117647
1.0,3960.0,7.63943213198,189.294117647
1.0,4320.0,7.69810789012,189.294117647
1.0,3960.0,7.80399672108,189.294117647
1.0,4320.0,8.22661140019,189.294117647
1.0,4680.0,8.6992926041,189.294117647
1.0,4680.0,8.86421695898,189.294117647
1.0,4500.0,8.8860904141,189.294117647
1.0,4680.0,8.8874517364,189.294117647
1.0,4680.0,8.96791558666,189.294117647
1.0,4680.0,9.01517409533,189.294117647
1.0,4680.0,9.04101236419,189.294117647
1.0,4680.0,9.15707149637,189.294117647
1.0,4860.0,9.59901046456,189.294117647
1.0,5220.0,10.0545104134,189.294117647
1.0,5040.0,10.2232166507,189.294117647
1.0,5220.0,10.2393099779,189.294117647
1.0,5220.0,10.2077072684,189.294117647
1.0,5040.0,10.2355106691,189.294117647
1.0,5400.0,10.3145013719,189.294117647
1.0,5040.0,10.3518651415,189.294117647
1.0,5400.0,10.5470539541,189.294117647
1.0,5400.0,11.005375937,189.294117647
1.0,5760.0,11.4215322004,189.294117647
1.0,5760.0,11.5853439551,189.294117647
1.0,5400.0,11.6176432221,189.294117647
1.0,5760.0,11.6217206883,189.294117647
1.0,5760.0,11.6808753326,189.294117647
1.0,5760.0,11.7143500005,189.294117647
1.0,5760.0,11.7591806604,189.294117647
