timestamps(s), speed (mph), count
20.0,0.0,0.0
40.0,0.0,0.0
60.0,0.0,0.0
80.0,0.0,0.0
100.0,76.0002723213,1.0
120.0,75.2973694092,7.0
140.0,63.2026282285,18.0
160.0,63.5524395339,13.0
180.0,64.8619224551,21.0
200.0,66.6879404449,20.0
220.0,69.3345352509,13.0
240.0,66.21355374,17.0
260.0,67.487161951,15.0
280.0,65.4508957362,18.0
300.0,66.2094766929,17.0
320.0,68.953883427,18.0
340.0,68.0739947575,14.0
360.0,66.8919282049,18.0
380.0,68.2240192928,16.0
400.0,66.0483097883,17.0
420.0,65.8965697475,12.0
440.0,62.5352646018,19.0
460.0,62.7235366668,16.0
480.0,66.9866820633,12.0
500.0,56.6855929841,19.0
520.0,55.9478141695,19.0
540.0,61.4906623037,22.0
560.0,67.2666365188,17.0
580.0,66.1306275141,14.0
600.0,63.3132981492,18.0
620.0,63.6216832311,15.0
640.0,63.6651854603,22.0
660.0,66.8678335229,18.0
680.0,67.8253901087,16.0
700.0,63.3776282049,19.0
720.0,65.3480282672,17.0
740.0,66.5431436269,22.0
760.0,64.0765229499,12.0
780.0,67.7868952199,19.0
800.0,72.492775072,15.0
820.0,67.6438028332,19.0
840.0,66.5266727066,18.0
860.0,66.67768313,17.0
880.0,59.904857682,17.0
900.0,62.0267658258,17.0
920.0,53.4126326107,20.0
940.0,50.7376177566,16.0
960.0,43.9355001811,19.0
980.0,27.0491029987,17.0
1000.0,10.6364346995,6.0
1020.0,0.588224360771,1.0
1040.0,0.650698823561,3.0
1060.0,0.59870001355,1.0
1080.0,0.606343732762,1.0
1100.0,1.01869106657,3.0
1120.0,1.22338364063,3.0
1140.0,3.52669999207,1.0
1160.0,3.02165151337,2.0
1180.0,2.23110217586,2.0
1200.0,2.03023933907,2.0
1220.0,0.613692512486,2.0
1240.0,0.605332032101,2.0
1260.0,0.638368804748,2.0
1280.0,0.602851533472,1.0
1300.0,1.52252625303,4.0
1320.0,3.81938900104,2.0
1340.0,0.584658749908,1.0
1360.0,1.84622038626,2.0
1380.0,1.76085303168,2.0
1400.0,2.1153625406,2.0
1420.0,1.05174899324,2.0
1440.0,1.17693710892,2.0
1460.0,1.1052391625,3.0
1480.0,1.83656956072,3.0
1500.0,0.582261628345,2.0
1520.0,0.593443623998,2.0
1540.0,0.640453457612,2.0
1560.0,2.95539304636,7.0
1580.0,6.10292981264,14.0
1600.0,8.32769233181,18.0
1620.0,9.63762840872,20.0
1640.0,10.2468039685,19.0
1660.0,10.5190925941,20.0
1680.0,10.5663664734,21.0
1700.0,10.5245751571,19.0
1720.0,10.4357161369,21.0
1740.0,10.3819233082,19.0
1760.0,10.3782719978,20.0
1780.0,10.3894558458,19.0
1800.0,10.3890679915,20.0
1820.0,10.3891804163,19.0
1840.0,10.4020872547,18.0
1860.0,10.418526768,17.0
1880.0,10.4787102949,19.0
1900.0,10.5183306006,17.0
1920.0,10.5407086364,18.0
1940.0,10.5864114564,18.0
1960.0,10.6038784516,18.0
1980.0,10.6906749808,18.0
2000.0,10.6529429589,18.0
2020.0,10.6050040145,17.0
2040.0,10.6145232571,17.0
2060.0,10.56323302,18.0
2080.0,10.5528021271,19.0
2100.0,10.5351274261,19.0
2120.0,10.5258088554,18.0
2140.0,10.5723392259,19.0
2160.0,10.6262784296,18.0
2180.0,10.7005258224,18.0
2200.0,10.7804636393,19.0
2220.0,10.8228419534,19.0
2240.0,10.8250375493,18.0
2260.0,10.8381036077,20.0
2280.0,10.8481271562,19.0
2300.0,10.8177974609,17.0
2320.0,10.7610751905,19.0
2340.0,10.7733955033,19.0
2360.0,10.7938062604,18.0
2380.0,10.8216348451,18.0
2400.0,10.7997684784,20.0
2420.0,10.7067775185,17.0
2440.0,10.573421868,19.0
2460.0,10.4866283529,17.0
2480.0,10.4600015461,20.0
2500.0,10.4878774571,18.0
2520.0,10.5285112318,19.0
2540.0,10.5205929783,18.0
2560.0,10.5103537252,18.0
2580.0,10.4930578325,19.0
2600.0,10.4284899127,20.0
2620.0,10.4003403182,18.0
2640.0,10.3489760744,19.0
2660.0,10.4045168637,19.0
2680.0,10.4463742347,19.0
2700.0,10.6002329852,17.0
2720.0,10.7928492599,18.0
2740.0,11.1496248468,19.0
2760.0,11.7247023548,19.0
2780.0,12.2594138353,19.0
2800.0,12.72346296,19.0
2820.0,13.2434534283,24.0
2840.0,13.6649573005,20.0
2860.0,14.016531556,20.0
2880.0,14.3505101775,22.0
2900.0,14.498433223,23.0
2920.0,14.8112953956,22.0
2940.0,15.0069930185,24.0
2960.0,15.118958647,25.0
2980.0,15.4130275175,24.0
3000.0,15.5666442119,25.0
3020.0,15.7063557912,22.0
3040.0,15.8179721833,25.0
3060.0,15.8697637791,25.0
3080.0,15.9496090535,25.0
3100.0,16.0645945096,26.0
3120.0,16.0704108372,24.0
3140.0,16.1071775034,26.0
3160.0,16.3052880057,25.0
3180.0,16.3796487373,24.0
3200.0,16.4932219386,22.0
3220.0,16.5711213906,25.0
3240.0,16.5930780185,25.0
3260.0,16.6280709461,24.0
3280.0,16.7412360301,23.0
3300.0,16.5746774916,23.0
3320.0,16.4759825338,22.0
3340.0,16.5628559909,21.0
3360.0,16.6528379152,22.0
3380.0,16.7273826827,21.0
3400.0,16.7054351051,22.0
3420.0,16.7914985452,21.0
3440.0,16.8570572671,22.0
3460.0,16.9393981491,23.0
3480.0,16.9207208704,20.0
3500.0,16.9642947883,22.0
3520.0,16.9784090433,20.0
3540.0,17.0493768611,23.0
3560.0,16.9886110563,20.0
3580.0,17.0037525521,22.0
3600.0,16.9975026488,23.0
