timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.0,2700.0,71.6188177662
40.0,0.0588235294118,3060.0,71.7650174844
60.0,0.0,3060.0,71.5866985558
80.0,0.0555555555556,3240.0,75.613582681
100.0,0.0,2700.0,66.4903797293
120.0,0.0,3240.0,64.6024110439
140.0,0.0666666666667,2700.0,73.0915974411
160.0,0.0,3060.0,63.2428831277
180.0,0.0588235294118,3060.0,73.0817689436
200.0,0.0,3060.0,70.9046373628
220.0,0.0,2880.0,73.3103639055
240.0,0.0,2880.0,69.2681052624
260.0,0.0,3240.0,71.2398840373
280.0,0.0625,2880.0,70.9836840409
300.0,0.0,3240.0,71.0597106697
320.0,0.125,2880.0,71.6391910484
340.0,0.5,3240.0,64.5699290357
360.0,0.473684210526,3420.0,69.8021751365
380.0,0.444444444444,3240.0,75.2851906509
400.0,0.444444444444,3240.0,72.7168840468
420.0,0.421052631579,3420.0,73.0575194625
440.0,0.444444444444,3240.0,66.2014816179
460.0,0.555555555556,3240.0,66.3373608515
480.0,0.470588235294,3060.0,72.1283497013
500.0,0.473684210526,3420.0,62.5656102884
520.0,0.6,3600.0,70.7820114698
540.0,0.444444444444,3240.0,68.8682513046
560.0,0.473684210526,3420.0,64.8702200997
580.0,0.444444444444,3240.0,70.6033888524
600.0,0.529411764706,3060.0,65.7790873412
620.0,0.277777777778,3240.0,70.7273737516
640.0,0.263157894737,3420.0,67.0193162549
660.0,0.235294117647,3060.0,69.3289772058
680.0,0.117647058824,3060.0,67.8352365544
700.0,0.0588235294118,3060.0,67.5545342396
720.0,0.294117647059,3060.0,66.7217719132
740.0,0.222222222222,3240.0,69.5569894137
760.0,0.315789473684,3420.0,69.4594928282
780.0,0.333333333333,3240.0,67.9516038225
800.0,0.277777777778,3240.0,64.5965115029
820.0,0.333333333333,3240.0,70.9859926489
840.0,0.0588235294118,3060.0,68.4684909571
860.0,0.166666666667,3240.0,73.6437932898
880.0,0.0555555555556,3240.0,68.5450330413
900.0,0.117647058824,3060.0,67.5511785362
920.0,0.5,3240.0,71.040839484
940.0,0.647058823529,3060.0,70.8026980898
960.0,0.529411764706,3060.0,66.7713558985
980.0,0.6,3600.0,69.2479456874
1000.0,0.555555555556,3240.0,70.2657317678
1020.0,0.555555555556,3240.0,68.2296168377
1040.0,0.588235294118,3060.0,69.0694486403
1060.0,0.611111111111,3240.0,72.1741461972
1080.0,0.631578947368,3420.0,74.9325027995
1100.0,0.631578947368,3420.0,73.8482300156
1120.0,0.6,3600.0,75.4926740584
1140.0,0.578947368421,3420.0,75.7127742628
1160.0,0.5,3240.0,66.4461183946
1180.0,0.555555555556,3240.0,67.4701941953
1200.0,0.555555555556,3240.0,65.899753547
1220.0,0.294117647059,3060.0,66.6064955317
1240.0,0.117647058824,3060.0,70.4507555969
1260.0,0.3,3600.0,75.0141058408
1280.0,0.125,2880.0,69.8404168966
1300.0,0.263157894737,3420.0,71.4631668279
1320.0,0.125,2880.0,67.6984136984
1340.0,0.210526315789,3420.0,69.0235471392
1360.0,0.235294117647,3060.0,72.8693694545
1380.0,0.111111111111,3240.0,70.1540358762
1400.0,0.235294117647,3060.0,64.4947642742
1420.0,0.235294117647,3060.0,64.9948568207
1440.0,0.235294117647,3060.0,63.1551010923
1460.0,0.263157894737,3420.0,64.8590446529
1480.0,0.210526315789,3420.0,70.4273722749
1500.0,0.25,2880.0,66.2545603922
1520.0,0.222222222222,3240.0,71.0480229606
1540.0,0.0588235294118,3060.0,70.2532864211
1560.0,0.111111111111,3240.0,72.9265771536
1580.0,0.111111111111,3240.0,70.6250868078
1600.0,0.111111111111,3240.0,73.2455947215
1620.0,0.235294117647,3060.0,70.6227604136
1640.0,0.157894736842,3420.0,70.7289582075
1660.0,0.0588235294118,3060.0,69.1916252792
1680.0,0.166666666667,3240.0,72.97043154
1700.0,0.117647058824,3060.0,68.0177903916
1720.0,0.125,2880.0,70.1503778174
1740.0,0.166666666667,3240.0,69.3085220213
1760.0,0.380952380952,3780.0,70.5944769496
1780.0,0.444444444444,3240.0,63.659600739
1800.0,0.444444444444,3240.0,68.8172050629
1820.0,0.45,3600.0,68.3588511575
1840.0,0.388888888889,3240.0,71.1536190646
1860.0,0.4,3600.0,70.4905789859
1880.0,0.444444444444,3240.0,61.1029204855
1900.0,0.428571428571,3780.0,67.2486975231
1920.0,0.277777777778,3240.0,68.8754748363
1940.0,0.368421052632,3420.0,70.7179367427
1960.0,0.444444444444,3240.0,70.8183435867
1980.0,0.473684210526,3420.0,73.2728935703
2000.0,0.4,3600.0,71.0289142452
2020.0,0.388888888889,3240.0,69.5767136297
2040.0,0.352941176471,3060.0,68.9384586801
2060.0,0.294117647059,3060.0,71.6675676573
2080.0,0.222222222222,3240.0,70.2755341099
2100.0,0.235294117647,3060.0,69.427470717
2120.0,0.695652173913,4140.0,75.8509403675
2140.0,0.72,4500.0,75.1794804967
2160.0,0.739130434783,4140.0,73.7599052677
2180.0,0.739130434783,4140.0,67.4008024184
2200.0,0.692307692308,4680.0,74.572466704
2220.0,0.739130434783,4140.0,76.3967026344
2240.0,0.72,4500.0,75.7697188282
2260.0,0.708333333333,4320.0,74.7774031311
2280.0,0.739130434783,4140.0,69.0806478113
2300.0,0.857142857143,3780.0,73.5108957813
2320.0,0.739130434783,4140.0,69.5033677895
2340.0,0.68,4500.0,68.877508927
2360.0,0.782608695652,4140.0,64.2149606845
2380.0,0.727272727273,3960.0,71.5131590408
2400.0,0.72,4500.0,65.5583427837
2420.0,0.0625,2880.0,62.1532558576
2440.0,0.111111111111,3240.0,68.8643697506
2460.0,0.0,2880.0,64.9423040493
2480.0,0.117647058824,3060.0,57.025577871
2500.0,0.166666666667,3240.0,68.248947633
2520.0,0.125,2880.0,69.5616383117
2540.0,0.0555555555556,3240.0,68.4254561379
2560.0,0.0,2880.0,70.8307434257
2580.0,0.0,2880.0,73.7022672761
2600.0,0.0588235294118,3060.0,71.9738005173
2620.0,0.0555555555556,3240.0,70.4763733211
2640.0,0.0625,2880.0,71.9879601176
2660.0,0.111111111111,3240.0,71.0522355886
2680.0,0.166666666667,3240.0,72.9021575941
2700.0,0.222222222222,3240.0,70.2646409959
2720.0,0.117647058824,3060.0,68.927934395
2740.0,0.166666666667,3240.0,67.2233985773
2760.0,0.111111111111,3240.0,70.8380942591
2780.0,0.111111111111,3240.0,69.1560848289
2800.0,0.0588235294118,3060.0,70.9427835501
2820.0,0.176470588235,3060.0,71.1192220149
2840.0,0.166666666667,3240.0,72.4828375685
2860.0,0.0588235294118,3060.0,67.8844265767
2880.0,0.210526315789,3420.0,68.6048945814
2900.0,0.125,2880.0,68.9575146543
2920.0,0.166666666667,3240.0,70.1122105959
2940.0,0.166666666667,3240.0,68.1807692336
2960.0,0.157894736842,3420.0,71.4004100677
2980.0,0.111111111111,3240.0,72.5682179672
3000.0,0.166666666667,3240.0,75.469844016
3020.0,0.277777777778,3240.0,72.821235691
3040.0,0.210526315789,3420.0,69.289129792
3060.0,0.235294117647,3060.0,67.8057829277
3080.0,0.166666666667,3240.0,70.4743216941
3100.0,0.470588235294,3060.0,68.7821181264
3120.0,0.428571428571,3780.0,66.3927687942
3140.0,0.52380952381,3780.0,72.455564498
3160.0,0.3,3600.0,69.5797546768
3180.0,0.55,3600.0,72.0790809525
3200.0,0.4375,2880.0,71.4085013682
3220.0,0.45,3600.0,67.6939094474
3240.0,0.368421052632,3420.0,60.7680974513
3260.0,0.421052631579,3420.0,70.0722231517
3280.0,0.368421052632,3420.0,67.9341547241
3300.0,0.368421052632,3420.0,71.1329371511
3320.0,0.421052631579,3420.0,66.4639823039
3340.0,0.5,3240.0,66.9387121897
3360.0,0.45,3600.0,73.4557000598
3380.0,0.368421052632,3420.0,66.0186575041
3400.0,0.444444444444,3240.0,64.3328999895
3420.0,0.421052631579,3420.0,68.0992292211
3440.0,0.388888888889,3240.0,68.4766560742
3460.0,0.45,3600.0,69.4347256262
3480.0,0.428571428571,3780.0,67.3491101042
3500.0,0.388888888889,3240.0,71.5596742654
3520.0,0.388888888889,3240.0,67.7127799802
3540.0,0.421052631579,3420.0,68.8317854941
3560.0,0.263157894737,3420.0,71.3006527866
3580.0,0.421052631579,3420.0,70.7198819611
3600.0,0.421052631579,3420.0,67.1850304532
